RowI,OrderI,ProdtName,Codto,Orderate,Spate,Spode,CstomerI
1,HN-2021-152156,AdA7,99%,11/8/2021,11/11/2021,SeodClass,CG-12520
2,LC-2020-152156,ToyotaAlts,98%,11/8/2020,11/11/2020,SeodClass,CG-12520
NaN,HN-2021-18688,Camry,98%,6/12/2021,6/16/2021,SeodClass,-1045
4,HN-2021-108966,a,99%,10/11/2021,10/18/2021,StadardClass,SO-205
5,HN-2021-102444,0,99%,10/11/2021,10/18/2021,StadardClass,SO-205
6,HC-2021-115812,0,96%,6/9/2021,6/14/2021,StadardClass,H-11710
7,HC-2021-11581,aorg,99%,6/9/2021,6/14/2021,StadardClass,H-11710
8,LA-2021-115812,AstoartRapde,95%,6/9/2021,6/14/2021,StadardClass,H-11710
9,TN-2020-115812,eredesCLS,9%,6/9/2020,6/14/2020,StadardClass,H-11710
10,N-2021-115812,X5,91%,6/9/2021,6/14/2020,StadardClass,H-11710
11,T-2021-115812,X5,90%,6/9/2021,6/14/2021,StadardClass,H-11710
12,T-2021-115812,AraX,97%,6/9/2021,6/14/2021,StadardClass,H-11710
1,HN-2021-114412,AdQ7,99%,4/15/2021,4/20/2021,StadardClass,AA-10480
14,NA-2021-16189,AraX,99%,12/5/2021,12/10/2021,StadardClass,I-15070
15,P-2021-11898,X6,95%,11/22/2021,11/26/2021,StadardClass,N-1690
16,NA-2020-11898,ToyotaHlx,98%,11/11/2020,11/18/2020,StadardClass,N-1690
17,-2021-10589,NssaraoS,99%,5/1/2021,5/15/2021,StadardClass,JC-16105
18,HP-2021-167164,AraX,99%,8/27/2021,9/1/2021,StadardClass,CS-12400
19,C-2021-146,AstoartRapde,99%,8/27/2021,9/1/2021,SeodClass,PO-18865
20,HP-2021-167165,A8,99%,8/27/2021,9/1/2021,SeodClass,PG-18895
21,C-2021-147,FordFos,94%,12/9/2021,12/1/2021,SeodClass,PG-18895
22,CA-2021-170,Hydaeloster,90%,12/9/2021,12/1/2021,SeodClass,G-14455
2,CA-2021-170,A4,97%,7/16/2021,7/18/2021,StadardClass,JS-15685
24,US-2021-156909,X5,99%,9/25/2021,9/0/2021,StadardClass,JS-15685
25,CA-2020-10620,HodaCR,99%,1/16/2020,1/20/2020,SeodClass,JS-15685
26,CA-2020-121755,Isz-ax,95%,1/16/2020,1/20/2020,StadardClass,-1615
27,CA-2021-121755,FordRager,98%,9/17/2021,9/21/2021,SeodClass,-1615
28,US-2021-15060,NssaNavara,99%,9/17/2021,9/21/2021,SeodClass,-1615
29,US-2021-15060,0,99%,9/17/2021,9/21/2021,StadardClass,R-19705
0,US-2020-15060,aorg,99%,9/17/2020,9/21/2020,StadardClass,PN-18775
1,US-2021-15060,AstoartRapde,99%,9/17/2021,9/21/2021,StadardClass,-1645
2,US-2021-15060,eredesCLS,94%,9/17/2021,9/21/2020,StadardClass,ER-1855
NaN,US-2021-15060,X5,92%,9/17/2021,9/21/2021,StadardClass,R-19465
4,US-2020-15060,X5,99%,10/19/2020,10/2/2020,StadardClass,R-19465
